Customer_ID,churned
0520df14-712d-4c69-a0c5-95a2e7dfc1ff,No
a4013b3f-0688-4096-a194-6074be8ffec8,No
eb870f2c-ed3d-4a21-a8ac-273fae69ea4f,No
a7433451-8ea9-428a-9d80-679c6963b39f,No
43f81935-49e3-44d3-94d1-5c4715738988,No
a6a161bd-0ccb-4f23-9988-38b3b6202787,No
69101cd5-f8ca-46ef-ac5c-ed2fe09c7e80,No
074b9fbf-6061-479d-be11-89c1a3b07c47,Yes
dcf6c2a1-e843-4633-bf47-8e3c0fb7478d,No
eb449e04-d4d8-4536-ae59-bd4c638a6365,No
6d37b345-96fc-4ca6-ae21-58c44209afe0,No
7f721f51-1ac4-4ea1-bd8d-a085535157a9,Yes
0662c919-6ef3-4317-bde3-011565c9ea46,No
b96e4f1b-3005-46ea-b85c-9881af42992d,No
5ce0be3e-c24d-4e78-a6e4-cf0366a5cdcc,No
36ca896c-af41-45d0-8b15-9bb7b69f5deb,No
85d69498-7277-41fd-98bc-58c51b49ba2c,Yes
783d30e6-e01a-46d5-8994-ec299d6798a7,Yes
c4053e40-3e23-42bd-a066-c80e946e918c,Yes
616bb2c7-7e82-46c9-8e10-bed9fe444a45,No
c5c52516-e767-4034-b180-a2e12b6733f8,No
f7b88739-6e00-40c5-84b9-d664cd030351,No
a0838aad-4bc1-457c-b7be-036c39b887a2,No
b47e2623-e675-44c2-8d88-f1d52f4dba4a,Yes
9a2bc455-d0f2-454a-ae39-50550d448fc8,No
ca255891-17d6-45d2-900d-60589868c504,Yes
a49ed04a-0b43-44a5-8f1b-11db61b11f2a,Yes
1b68917a-971e-4978-b60e-46ed6d97f12a,No
d87b7c7b-7f52-4aae-b224-286f333c0940,No
94113089-13e1-4d04-a2c7-4f58ac0773ad,No
3d06369f-98e5-4801-87f1-77fb939b9531,No
805b40ff-2f92-485a-8d0c-d9f0254d942a,No
99730612-4573-4faf-a922-6b9a90daf6ba,No
a3f58f32-cb3a-4475-aa5d-c37a5811a6ef,No
11d47829-90b5-43b4-8404-7edc39ff22ee,No
791f7c4d-197e-46b3-ad0e-55967242eb36,No
b8578935-0c06-4128-b4e8-01ff3c23b4ea,No
03318e8e-0a66-40ce-bd30-664cc9fa913a,No
5abd051d-92d7-4bb7-9073-7fdaca60bebd,No
54a4f46e-1f13-4be6-9498-51020d5ec0d2,No
cbdccb6d-88fb-4be3-90ec-f7ce21975f6d,No
8d290a64-c2e0-46e2-84e2-88dbf9b45676,No
2491994c-e4f5-4e20-938d-8e3f2d238ad4,No
69ab8a54-f6ad-4f93-8aa2-ed57111981f6,No
45682f98-5a30-408c-8e33-81638e9d5962,No
9db4df33-a9e5-4c35-92a5-e18cf7280d77,No
7c5260b3-79ee-4eaa-9e03-4e55d30acbc2,No
699dc04e-c1d2-4444-b49a-411ffcb703c0,No
6d62661f-2fd2-48b5-8ef0-35fa0b64d75a,No
72f96501-0c76-4498-864f-5e71196c291b,No
a3b7cf40-7d11-4790-8d99-6cf2796f19f0,No
8bb79204-f5ff-4c45-9f28-3b5e44e4e68a,No
ceb32aa3-622f-41ff-b50d-095982dff2e2,No
8692fff2-6ffb-4f50-a595-6e6c3424abf2,No
c85706ca-da9a-4454-bb37-37e57551d239,Yes
64538ef7-3b3b-4638-b03c-8270db704d32,Yes
76d70e62-95b1-418c-8d1e-0312e1f317f0,No
f9da6bab-bd1c-47cd-ae60-6a030d14b99b,No
6459d22e-c35e-447d-af62-0044d41cd322,No
b8346df1-be02-4118-905d-931fd1e5e174,No
ab9a5c89-8f75-47d3-a30a-39c42431a7c1,No
8a6e016e-8b86-4a0a-8bab-7575be08f75a,No
dc4105da-5658-43ff-9853-13539c2e8df4,No
2c94d11a-b1aa-4595-892c-d4a8f2c6ab3b,No
e5a9b6e3-1d31-45fd-bae5-60baa7e7a1cf,No
ea3d4ee1-c783-44b3-8c99-acc2d250c9d8,No
e27d7b20-25b3-4ff0-b88b-a7ccb7b78f96,No
7b363fbf-9486-4e0d-9e01-2f4b52b1cc89,Yes
8c1ff1d4-75a8-4a2e-9288-13f9ab4979d5,No
e44f7319-90da-4768-a764-9e66f6c0be73,No
9253f6fc-8ef6-44ad-b34a-3c8a6811d05f,No
ce296bf5-2912-40d6-b386-85f97849a5c2,No
27198475-c259-4626-8b01-616af90d4666,No
b0b8e332-e904-4d07-a612-e0c432c7ce81,No
7bb27d94-e332-4802-8f6c-baef0be95257,No
ce331f32-0557-4b56-b791-2e437191a8bd,No
5753b50a-b697-4d53-a78d-98687e9d18c0,Yes
b95a8097-0147-453f-82b4-c96ef664ffc5,No
a82e2092-f32b-400a-bd68-5ebb82a9a508,No
2114c75a-8904-48e2-b7cf-50783cbe0c23,No
2c96dd89-9249-42bb-80fb-b183fe4c8c64,No
e616cc54-be72-446a-9467-0660d655eeac,No
45361d48-4110-4646-966e-6f8739c4f424,Yes
b02e6e78-fb3b-48c9-a1f0-51b7fbb24110,No
b44406ee-a3bd-4bb5-ae73-2b0b57a675b5,No
ba12e902-65cf-45cc-90e1-2bb1932104a1,Yes
246e2643-42a0-4a41-953e-d14f4fe5f2cf,No
4b07e105-9f6e-4fb2-80bf-dd2722225a09,No
73cf0cea-5b2e-4956-9025-5e29fbffa2de,No
94b9467c-5e4c-4c11-b243-8365d393b010,No
31124630-b9bb-48f5-b9ad-e7c0787db08a,Yes
91667819-9dcf-4f49-9359-8844584079c7,Yes
a9efc644-e479-4794-aa52-bcfd2abd4e67,No
933c0867-20ca-4b20-b343-550af8d3ae30,No
f30603e6-c94e-41e5-88a8-73683281f75b,No
524fd972-8d54-45a3-b35f-6f627d23c209,No
b65ac0b5-fb2b-4573-9d7e-20b8c3a24ad7,No
8d859239-4012-4b9e-bbb6-ec9046015a29,No
